"modelname","model","AIC","AICc","dAICc","AICcwt","estimate","lcl","ucl","D","Dlcl","Ducl","CV"
"m3","D~1 lambda0~valley_stream sigma~1",220.003,221.908,0,0.6465,39.8080986563693,24.2148461316936,65.4426920582872,0.0165041868392907,0.0100393226084965,0.0271321277190245,25.776343549312
"m4","D~std_tri lambda0~valley_stream sigma~1",221.937,224.937,3.02900000000002,0.1422,40.3574432013474,24.3932547741167,66.7694096926413,0.0167319416257659,0.0101132897073452,0.0276821764894865,26.1173138087555
"m0","D~1 lambda0~1 sigma~1",224.28,225.371,3.46300000000002,0.1145,39.432028555031,24.0615715250944,64.6210857151683,0.0163482705452036,0.00997577592251011,0.0267914949067862,25.6081715342347
"m5","D~std_tri + std_d2hydro lambda0~cliff + valley_stream sigma~1",221.434,227.657,5.74900000000002,0.0365,42.0073970812663,25.009531820415,70.5579545516617,0.017416002106661,0.0103687942870709,0.0292528833132926,26.9290083834226
"m1","D~std_tri lambda0~1 sigma~1",226.075,227.98,6.072,0.0311,38.9452885474886,23.9746184710662,63.2642184432517,0.0161464712054265,0.00993972573427289,0.0262289462865886,25.1376978773129
"m2","D~std_d2hydro lambda0~1 sigma~1",226.193,228.098,6.19000000000003,0.0293,39.3022150646233,24.1014765704814,64.0900197325565,0.0162944506901423,0.00999232030285298,0.0265713182970798,25.3431956317198
