"modelname","model","AIC","AICc","dAICc","AICcwt","estimate","lcl","ucl","D","Dlcl","Ducl","CV"
"s3","D~1 lambda0~cliff sigma~1",135.793,138.293,0,0.6914,45.1908308687438,22.6402552542068,90.2026576854936,0.0210532638568571,0.0105475216651324,0.0420231342583245,36.3894199928694
"s0","D~1 lambda0~1 sigma~1",140.288,141.7,3.40699999999998,0.1259,44.4950169911964,21.9878746212222,90.0408325566853,0.0207291017895161,0.010243594046691,0.0419477440282717,37.1591156948029
"s4","D~std_tri lambda0~cliff + valley_stream sigma~1",135.776,141.776,3.483,0.1212,48.6730931341994,23.4156218817721,101.174763036921,0.0226755616744465,0.0109087453444082,0.047134760324678,38.6729423576889
"s1","D~std_tri lambda0~1 sigma~1",141.781,144.281,5.988,0.0346,44.7091208950753,22.0890492605239,90.4930523552577,0.0208288473771606,0.0102907287493706,0.0421584217820907,37.1708893820751
"s2","D~std_elev lambda0~1 sigma~1",142.286,144.786,6.493,0.0269,44.4353635676266,22.3643605089844,88.2878602584652,0.0207013107699169,0.010418989289068,0.0411310786202959,36.1321491301792
