"modelname","model","AIC","AICc","dAICc","AICcwt","estimate","lcl","ucl","D","Dlcl","Ducl","CV"
"f3","D~1 lambda0~valley_stream sigma~1",223.175,225.08,0,0.5661,33.3166615201944,20.2142115944907,54.9118588999892,0.0155213890147656,0.00941728935219694,0.0255820446773768,25.9138255081579
"f4","D~std_tri lambda0~cliff + valley_stream sigma~1",221.971,226.392,1.31199999999998,0.2937,34.1446153290024,20.7893636880912,56.0793862408296,0.0159071117302597,0.00968523814958828,0.0261259661033448,25.7259654763561
"f0","D~1 lambda0~1 sigma~1",227.668,228.759,3.67899999999997,0.0899,33.2303283516523,20.2129571049788,54.6310327886973,0.0154811685775226,0.00941670491729737,0.0254512149027241,25.7781997429569
"f2","D~std_elev lambda0~1 sigma~1",229.333,231.238,6.15799999999999,0.026,33.7097172528264,20.700372334861,54.8949081148559,0.0157045037283142,0.0096437793314051,0.0255741477357819,25.2697937009616
"f1","D~std_tri lambda0~1 sigma~1",229.478,231.383,6.303,0.0242,33.553223601386,20.5969931549713,54.659377005856,0.0156315972985726,0.00959561758908515,0.0254644197558146,25.288679860195
